method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
marginal,kiva,40,9,0,2600,1212.6901648412108,3394.686206054974,9894.904445391148,18.08940483618126,2.9136938885132944,930,2600
sequential,kiva,40,9,0,2600,1486.2293587045904,3764.5998884621677,7211.612315964885,12.07975262305676,1.9149262655243986,922,2600
marginal,kiva,40,9,1,2600,1194.7791260488714,3446.904773541125,9802.870899206027,17.75882409276454,2.8430600055701936,930,2600
sequential,kiva,40,9,1,2600,1455.3815996266687,3726.098251228912,7135.8790004160255,12.135848640163308,1.914130633158805,923,2600
marginal,kiva,40,9,2,2600,1182.500923847014,3382.04253423127,9927.096290630288,18.115139216478628,2.9335390929758534,931,2600
sequential,kiva,40,9,2,2600,1474.5161873331406,3721.911396485745,7172.405101591721,12.156618816257154,1.9265122486144832,923,2600
marginal,kiva,40,9,3,2600,1201.419936765324,3395.4539983161158,9903.95460370928,17.780887977934075,2.9155003249070592,929,2600
sequential,kiva,40,9,3,2600,1464.429686049231,3730.701770627779,7128.516443190165,12.061787551929212,1.9101062280788224,922,2600
marginal,kiva,40,9,4,2600,1199.6581736645312,3470.097108611386,9776.773663121276,17.80833089821726,2.8158910320049757,930,2600
sequential,kiva,40,9,4,2600,1476.5111873331396,3747.36867039788,7199.671027599834,12.265197662009939,1.9204243871965414,923,2600
