method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
marginal,sorting,80,9,0,2600,1409.7989166551433,4527.687637316808,13557.713437476195,67.45131063420993,2.993533547687391,1000,2600
sequential,sorting,80,9,0,2600,1852.4749610332012,4894.5284185487335,5818.470867932774,28.947616258372012,1.1884131674699294,1000,2600
marginal,sorting,80,9,1,2600,1389.259766301181,4293.194708794751,13602.462744689547,67.67394400343058,3.16704604067277,1000,2600
sequential,sorting,80,9,1,2600,1831.414023959583,4768.41530367233,5828.375915647484,28.9968951027238,1.2218817433223237,1000,2600
marginal,sorting,80,9,2,2600,1428.1983745530188,4415.836437895754,13674.852924072184,68.03409414961286,3.0959594575667158,1000,2600
sequential,sorting,80,9,2,2600,1843.0500288273427,4716.625227349537,5840.341614792123,29.05642594423942,1.23788503916747,1000,2600
marginal,sorting,80,9,3,2600,1406.208235418168,4734.419560739776,13633.243551361375,67.82708234508146,2.878640952567858,1000,2600
sequential,sorting,80,9,3,2600,1804.9795374899204,4891.735563075161,5822.695101494901,28.968632345745775,1.190005130082751,1000,2600
marginal,sorting,80,9,4,2600,1421.248853963105,4658.649964224627,13700.109792524017,68.15975021156227,2.9399377237176,1000,2600
sequential,sorting,80,9,4,2600,1824.3073055186094,4884.85729214923,5924.856136320159,29.476896200597807,1.2126189390749404,1000,2600
