method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
tp_tsp,sorting,60,9,0,2600,1232.2038461538461,3194.0,5522.209750022739,21.07713645046847,1.728391158066585,983,2600
rgta_eff,sorting,60,9,0,2600,961.7353846153846,2934.0,10199.52471961733,50.743904077698154,3.4751361906702996,1000,2600
tp_tsp,sorting,60,9,1,2600,1227.4946153846154,3164.0,5558.422116213478,20.896323745163453,1.7562155185508619,984,2600
rgta_eff,sorting,60,9,1,2600,947.6284615384616,2850.0,10293.013146379963,51.20902062875603,3.610316782314964,1000,2600
tp_tsp,sorting,60,9,2,2600,1234.9969230769232,3235.0,5543.664116761647,20.456325154102018,1.713122409382462,983,2600
rgta_eff,sorting,60,9,2,2600,952.4388461538462,2890.0,10317.137334262952,51.329041463994784,3.5687088669190428,1000,2600
tp_tsp,sorting,60,9,3,2600,1224.1026923076922,3250.0,5554.54574432224,21.039946001220606,1.7085652858573486,984,2600
rgta_eff,sorting,60,9,3,2600,945.3734615384616,2846.0,10295.86153686978,51.2231917257203,3.6163897214154477,1000,2600
tp_tsp,sorting,60,9,4,2600,1234.241923076923,3250.0,5600.620613433421,21.295135412294375,1.7227378078847804,984,2600
rgta_eff,sorting,60,9,4,2600,954.2184615384615,2912.0,10336.212184396572,51.42394121590335,3.5483049036720127,1000,2600
