method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
tp_tsp,kiva,60,9,0,2600,407.73570360326914,2265.0931174676057,2856.984797050245,14.213854711692761,1.2602491385312065,1000,2600
marginal,kiva,60,9,0,2600,60.99697060830504,1081.6665289406928,6190.498891286552,30.798501946699265,5.716065458251664,1000,2600
rgta_eff,kiva,60,9,0,2600,61.525805111387804,1229.4478753994422,6083.803632762283,30.267679764986482,4.942163795907622,1000,2600
tp_tsp,kiva,60,9,1,2600,441.8347477358257,2251.502154185103,2927.739857346751,14.565869937048511,1.2994850676195078,1000,2600
marginal,kiva,60,9,1,2600,64.34588245528631,1114.0458857435335,6303.673155605793,31.36155798808852,5.648452648392287,1003,2600
rgta_eff,kiva,60,9,1,2600,61.87434993796281,1113.5111058001671,6259.859892656095,31.143581555502962,5.614224118974077,1004,2600
tp_tsp,kiva,60,9,2,2600,493.8306121032746,2463.8805083050315,2860.8117578551173,14.232894317687151,1.1605727212393986,1000,2600
marginal,kiva,60,9,2,2600,62.38349635336159,1157.0253966636014,6299.393072957173,31.34026404456305,5.435196784259856,1005,2600
rgta_eff,kiva,60,9,2,2600,63.999874632670966,1154.6971837501785,6336.9427169673145,31.527078193867236,5.481784357238161,1013,2600
tp_tsp,kiva,60,9,3,2600,480.7710056428584,2425.0393671604897,3064.6823601564392,15.247175921176314,1.26274510101213,1000,2600
marginal,kiva,60,9,3,2600,61.33741362710568,1110.05115135987,6199.106917832978,30.841327949417803,5.57473643690016,1014,2600
rgta_eff,kiva,60,9,3,2600,61.85121000766417,1129.9854793834763,6169.565196963958,30.694354213751037,5.454964807218354,1010,2600
tp_tsp,kiva,60,9,4,2600,482.2267027062065,2394.7437258814607,3056.630876963027,15.20711879086083,1.2757224027391598,1000,2600
marginal,kiva,60,9,4,2600,63.286867189323644,1161.06680079596,6338.551080669276,31.535080003329732,5.450172898253892,1005,2600
rgta_eff,kiva,60,9,4,2600,62.29600315425129,1161.2005997081699,6351.875003194436,31.6013681750967,5.461629409453514,1002,2600
