method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
tp_tsp,sorting,100,9,0,2600,671.0516190392875,3862.63308905365,3923.7326972652227,19.521058195349365,1.0154587725841673,1000,2600
marginal,sorting,100,9,0,2600,256.8278597391168,1908.1261855408911,9181.741817039438,45.68030754745989,4.8071946686070355,1000,2600
rgta_eff,sorting,100,9,0,2600,251.94872619871683,1896.6794690331692,9133.125050459057,45.43843308686098,4.811973156195499,1002,2600
tp_tsp,sorting,100,9,1,2600,681.7485435701432,3326.3327454087394,3859.345834585838,19.200725545203174,1.1596592051039176,1000,2600
marginal,sorting,100,9,1,2600,234.3799954709959,1690.701630215839,9096.1101683788,45.25427944467065,5.375951636157684,1000,2600
rgta_eff,sorting,100,9,1,2600,251.1567921290137,1880.9993615836331,9052.219632896595,45.03591857162485,4.809893535014131,1002,2600
tp_tsp,sorting,100,9,2,2600,676.8964585330546,3638.9920222407336,3924.7032980201766,19.52588705482675,1.0782151917637848,1000,2600
marginal,sorting,100,9,2,2600,243.06204689845882,1912.6513743959954,9231.288367882371,45.926807800409804,4.823034674964666,1000,2600
rgta_eff,sorting,100,9,2,2600,254.55591410122705,1806.6604669565013,9144.519614055753,45.49512245798882,5.057809521048536,1000,2600
tp_tsp,sorting,100,9,3,2600,657.3708863369002,3556.662728352415,3897.2608705516905,19.389357564933782,1.0953515656412847,1000,2600
marginal,sorting,100,9,3,2600,245.8525522822336,1855.4470726614695,9211.739624617621,45.829550371231946,4.960549070876479,1000,2600
rgta_eff,sorting,100,9,3,2600,258.5109930404938,2085.6953181572394,9170.199992833659,45.62288553648587,4.393962622344829,1001,2600
tp_tsp,sorting,100,9,4,2600,648.852692897355,3557.6122650752804,3885.7473484240472,19.33207636031864,1.091808752015748,1000,2600
marginal,sorting,100,9,4,2600,242.94966323592683,1891.6314926624386,9262.338762870058,46.08128737746298,4.892941765911283,1000,2600
rgta_eff,sorting,100,9,4,2600,265.06509187266045,1865.4252472712155,9183.62424580846,45.68967286471871,4.918920324482303,1000,2600
