map,agents,capacity,method,service,makespan,tp_tsp_service,tp_tsp_makespan,service_reduction_pct,makespan_reduction_pct,alloc_ms_event,alloc_ms_step
kiva,40,6,rgta_eff,1547.380967,4232.696012,1860.548383,4770.817869,16.831995,11.279447,4.185998,0.984173
kiva,40,6,rgta_full,1448.197769,4057.357198,1860.548383,4770.817869,22.162854,14.954683,26.888228,6.519501
kiva,40,9,rgta_eff,1193.026428,3380.342631,1628.452188,4217.064173,26.738627,19.841328,15.338389,2.502978
kiva,40,9,rgta_full,1078.170300,3179.357426,1628.452188,4217.064173,33.791713,24.607326,469.629840,77.925986
kiva,60,6,rgta_eff,901.604602,2799.414748,1221.278189,3388.717206,26.175329,17.390134,10.877268,1.841790
kiva,60,6,rgta_full,853.140470,2795.152609,1221.278189,3388.717206,30.143642,17.515908,39.641504,6.213537
kiva,60,9,rgta_eff,743.282530,2649.476472,1128.028474,3177.982354,34.107822,16.630233,44.250601,3.356633
kiva,60,9,rgta_full,671.515935,2565.964411,1128.028474,3177.982354,40.469948,19.258066,594.454885,46.572615
kiva,80,6,rgta_eff,701.886068,2438.252182,942.886852,2868.165810,25.559884,14.989148,28.230259,2.327246
kiva,80,6,rgta_full,670.260204,2433.946155,942.886852,2868.165810,28.914036,15.139280,74.735058,6.169990
kiva,80,9,rgta_eff,604.238273,2526.066663,901.945463,3120.857537,33.007227,19.058572,50.763191,4.038743
kiva,80,9,rgta_full,535.312080,2440.313255,901.945463,3120.857537,40.649174,21.806323,738.415744,60.841483
kiva,100,6,rgta_eff,480.976663,2419.033249,776.127524,2821.937277,38.028655,14.277568,32.067626,2.663858
kiva,100,6,rgta_full,459.008926,2393.029250,776.127524,2821.937277,40.859084,15.199063,87.128363,7.314581
kiva,100,9,rgta_eff,452.903264,2538.686383,727.813868,2913.960519,37.772103,12.878491,52.613550,4.166037
kiva,100,9,rgta_full,419.148791,2462.505396,727.813868,2913.960519,42.409892,15.492836,813.780873,66.382883
sorting,40,6,rgta_eff,3543.939251,8566.438249,4126.250547,9450.952903,14.112359,9.359000,4.113769,0.498429
sorting,40,6,rgta_full,3349.641738,8072.118588,4126.250547,9450.952903,18.821174,14.589368,28.242320,3.627022
sorting,40,9,rgta_eff,2809.631832,6782.799847,3612.148462,8201.157564,22.217155,17.294604,14.367081,1.333601
sorting,40,9,rgta_full,2549.301252,6213.999040,3612.148462,8201.157564,29.424239,24.230220,540.271987,54.118018
sorting,60,6,rgta_eff,2157.946494,5490.552660,2748.141871,6517.760645,21.476161,15.760137,7.633486,0.993314
sorting,60,6,rgta_full,2068.806312,5222.426818,2748.141871,6517.760645,24.719814,19.873909,41.783274,5.603404
sorting,60,9,rgta_eff,1802.713403,5031.309088,2518.498414,5910.985979,28.421102,14.882067,27.384102,1.912695
sorting,60,9,rgta_full,1668.343733,4669.417340,2518.498414,5910.985979,33.756411,21.004425,556.085860,38.272514
sorting,80,6,rgta_eff,1590.512184,4669.854170,2155.410226,5331.487708,26.208377,12.409923,16.218338,1.187482
sorting,80,6,rgta_full,1529.081408,4673.165540,2155.410226,5331.487708,29.058451,12.347814,56.808214,3.853707
sorting,80,9,rgta_eff,1409.551386,4299.161100,1982.314992,5088.427241,28.893673,15.511004,50.592372,2.366149
sorting,80,9,rgta_full,1323.642930,4264.972979,1982.314992,5088.427241,33.227417,16.182884,794.005269,37.444925
sorting,100,6,rgta_eff,1239.164102,3884.623914,1737.267686,4596.202970,28.671666,15.481889,30.622575,1.583928
sorting,100,6,rgta_full,1204.450431,3837.075024,1737.267686,4596.202970,30.669842,16.516415,93.598661,4.902744
sorting,100,9,rgta_eff,1176.774984,4329.467360,1698.247924,4890.239466,30.706526,11.467171,54.484486,2.529700
sorting,100,9,rgta_full,1109.980921,4071.269319,1698.247924,4890.239466,34.639642,16.747036,880.864821,43.490590
