method,map_name,num_agents,capacity,seed,completed_tasks,average_service_time,makespan,allocation_runtime_ms,allocation_runtime_ms_per_event,allocation_runtime_ms_per_step,generated_groups,assigned_tasks
tp,kiva,100,6,0,2600,962.2331118749664,3091.4068142930873,1423.9248542289715,1.0987074492507496,0.46037014362398043,2600,2600
tsp_mapd,kiva,100,6,0,2600,893.8314649217626,3039.4420673605846,360.43834695010446,1.7932256067169376,0.11852625680700574,1300,2600
tp_tsp,kiva,100,6,0,2600,777.9454281195959,2851.5559497389017,594.5531668548938,2.957975954501959,0.20839578228352393,1300,2600
rgta_eff,kiva,100,6,0,2600,475.79733499017885,2394.636070248173,6454.821652878309,32.113540561583626,2.693999020399962,1300,2600
tp,kiva,100,6,1,2600,965.6065706018203,3108.78777343967,1433.314763038652,1.1197771586239469,0.46087291416033827,2600,2600
tsp_mapd,kiva,100,6,1,2600,889.7531335179773,3066.453904040317,361.78579123225063,1.7999293096131872,0.1179223569857401,1300,2600
tp_tsp,kiva,100,6,1,2600,785.6987328426699,2896.2853096136796,591.963035025401,2.9450897264945324,0.20426605763471395,1300,2600
rgta_eff,kiva,100,6,1,2600,477.1215797490451,2351.451949929083,6489.396107936045,32.28555277580122,2.757924397762875,1300,2600
tp,kiva,100,6,2,2600,966.1025122452472,3138.256524117963,1442.3516661045142,1.1401989455371653,0.459347664364495,2600,2600
tsp_mapd,kiva,100,6,2,2600,883.3178464624087,3010.795799845551,363.04678401211277,1.8062029055328994,0.12053346082739468,1300,2600
tp_tsp,kiva,100,6,2,2600,769.3610099770145,2695.9807292408204,591.8316245952155,2.9444359432597786,0.2194407210215853,1300,2600
rgta_eff,kiva,100,6,2,2600,481.08069009032863,2428.0982886829484,6480.033470958006,32.23897249232839,2.666680440723459,1300,2600
tp,kiva,100,6,3,2600,981.5141632071192,3189.3094319035145,1437.1114391833544,1.1140398753359335,0.4503639734200421,2600,2600
tsp_mapd,kiva,100,6,3,2600,887.4818557179296,2989.8120297712185,367.18707202817313,1.8268013533739957,0.1227639826239295,1300,2600
tp_tsp,kiva,100,6,3,2600,783.7267864136901,2769.4613625345814,590.0253160798457,2.9354493337305754,0.21292865971845748,1300,2600
rgta_eff,kiva,100,6,3,2600,483.2503413375326,2476.6045196135738,6414.3017439346295,31.911948974799152,2.5884994931132486,1300,2600
tp,kiva,100,6,4,2600,971.2983489974071,3036.2370042969146,1442.6919039397035,1.13419174838027,0.47488212769575494,2600,2600
tsp_mapd,kiva,100,6,4,2600,892.8861370598638,2989.1444428330974,362.0134151133243,1.8010617667329567,0.12103424109439127,1300,2600
tp_tsp,kiva,100,6,4,2600,763.9056616301772,2896.4030318020014,600.5202859523706,2.9876631141908985,0.20721887023891325,1300,2600
rgta_eff,kiva,100,6,4,2600,487.63336743772135,2444.375418786406,6389.410814939765,31.78811350716301,2.6121875776532155,1300,2600
tp,kiva,100,9,0,2600,968.1194200832108,3183.5972827673354,1520.257364551071,1.1775812273827042,0.4773178538621887,2600,2600
tsp_mapd,kiva,100,9,0,2600,798.3707438533709,3064.26684600557,2902.4620332056656,14.440109617938635,0.9466608066554683,1000,2600
tp_tsp,kiva,100,9,0,2600,730.8460751676735,2991.432687040219,3316.928812128026,16.50213339367177,1.108228804586711,1000,2600
rgta_eff,kiva,100,9,0,2600,450.46526551492093,2546.3219794808097,10591.946222790284,52.69624986462828,4.156964765616281,1000,2600
tp,kiva,100,9,1,2600,962.3103527343393,3051.599915183609,1560.0006111490075,1.2083660814477206,0.5109730138057673,2600,2600
tsp_mapd,kiva,100,9,1,2600,803.9130073508607,2990.5935170959656,2963.7746778898872,14.745147651193468,0.9905664030380639,1000,2600
tp_tsp,kiva,100,9,1,2600,722.4310322051746,2754.294364891947,3313.937046972569,16.48724898991328,1.2024445018042704,1000,2600
rgta_eff,kiva,100,9,1,2600,460.2119027871626,2575.0241649465097,10563.832148967776,52.55637885058595,4.099275183922304,1000,2600
tp,kiva,100,9,2,2600,965.6316952973475,3112.6718855108406,1563.754266302567,1.2322728654866564,0.5021690000971635,2600,2600
tsp_mapd,kiva,100,9,2,2600,812.899275001202,2978.286748672468,2918.7088087783195,14.520939347155819,0.9794324861672213,1000,2600
tp_tsp,kiva,100,9,2,2600,726.8641109406141,2867.648874527162,3291.702286893269,16.37662829300134,1.1473343628069952,1000,2600
rgta_eff,kiva,100,9,2,2600,441.784595181542,2521.96487530328,10623.768016783288,52.85456724767805,4.210768139826907,1000,2600
tp,kiva,100,9,3,2600,974.44311067068,3137.8431378779396,1556.725047645159,1.2142941089275812,0.495930247736591,2600,2600
tsp_mapd,kiva,100,9,3,2600,811.2102969359297,3059.3120051684164,2889.487993932562,14.375562158868467,0.9439686357179229,1000,2600
tp_tsp,kiva,100,9,3,2600,728.8894688565474,2895.9342669766206,3302.605957578635,16.43087541083898,1.1400089601583137,1000,2600
rgta_eff,kiva,100,9,3,2600,452.7941785579439,2432.876591341828,10605.543092096923,52.76389598058171,4.357248599875482,1000,2600
