map,agents,capacity,method,service,makespan,tp_tsp_service,tp_tsp_makespan,service_reduction_pct,makespan_reduction_pct,paper_reduction_pct,threshold_93pct,pass_93pct,makespan_improved
kiva,40,6,rgta_eff,1547.380967,4232.696012,1860.548383,4770.817869,16.831995,11.279447,,,,True
kiva,40,6,tp,2667.231692,6576.827184,1860.548383,4770.817869,-43.357287,-37.855340,,,,False
kiva,40,6,tp_tsp,1860.548383,4770.817869,1860.548383,4770.817869,0.000000,0.000000,,,,False
kiva,40,6,tsp_mapd,2273.336983,5516.292935,1860.548383,4770.817869,-22.186394,-15.625729,,,,False
kiva,40,9,rgta_eff,1193.026428,3380.342631,1628.452188,4217.064173,26.738627,19.841328,,,,True
kiva,40,9,tp,2610.439769,6478.703801,1628.452188,4217.064173,-60.301898,-53.630667,,,,False
kiva,40,9,tp_tsp,1628.452188,4217.064173,1628.452188,4217.064173,0.000000,0.000000,,,,False
kiva,40,9,tsp_mapd,1884.520679,4605.106061,1628.452188,4217.064173,-15.724655,-9.201707,,,,False
kiva,60,6,rgta_eff,901.604602,2799.414748,1221.278189,3388.717206,26.175329,17.390134,,,,True
kiva,60,6,tp,1646.001483,4405.728951,1221.278189,3388.717206,-34.776949,-30.011703,,,,False
kiva,60,6,tp_tsp,1221.278189,3388.717206,1221.278189,3388.717206,0.000000,0.000000,,,,False
kiva,60,6,tsp_mapd,1452.073888,3923.035552,1221.278189,3388.717206,-18.897881,-15.767570,,,,False
kiva,60,9,rgta_eff,743.282530,2649.476472,1128.028474,3177.982354,34.107822,16.630233,27.500000,25.575000,True,True
kiva,60,9,tp,1615.391441,4401.350270,1128.028474,3177.982354,-43.204846,-38.495114,27.500000,25.575000,False,False
kiva,60,9,tp_tsp,1128.028474,3177.982354,1128.028474,3177.982354,0.000000,0.000000,27.500000,25.575000,False,False
kiva,60,9,tsp_mapd,1246.325852,3528.750059,1128.028474,3177.982354,-10.487091,-11.037434,27.500000,25.575000,False,False
kiva,80,6,rgta_eff,701.886068,2438.252182,942.886852,2868.165810,25.559884,14.989148,,,,True
kiva,80,6,tp,1245.981765,3662.585474,942.886852,2868.165810,-32.145417,-27.697829,,,,False
kiva,80,6,tp_tsp,942.886852,2868.165810,942.886852,2868.165810,0.000000,0.000000,,,,False
kiva,80,6,tsp_mapd,1086.132505,3181.365996,942.886852,2868.165810,-15.192242,-10.919877,,,,False
kiva,80,9,rgta_eff,604.238273,2526.066663,901.945463,3120.857537,33.007227,19.058572,,,,True
kiva,80,9,tp,1229.721170,3615.526452,901.945463,3120.857537,-36.340968,-15.850416,,,,False
kiva,80,9,tp_tsp,901.945463,3120.857537,901.945463,3120.857537,0.000000,0.000000,,,,False
kiva,80,9,tsp_mapd,979.019773,3218.167933,901.945463,3120.857537,-8.545340,-3.118066,,,,False
kiva,100,6,rgta_eff,480.976663,2419.033249,776.127524,2821.937277,38.028655,14.277568,,,,True
kiva,100,6,tp,969.350941,3112.799510,776.127524,2821.937277,-24.895834,-10.307183,,,,False
kiva,100,6,tp_tsp,776.127524,2821.937277,776.127524,2821.937277,0.000000,0.000000,,,,False
